family,genus,species,prop_females_poly,effective_mating_freq,polyandry_level,refs,worker_totipotency,totipotency_refs
Specidae,Microstigmus,comes,0,1,0,"(S33, 34)",yes,(S35)
Halictidae,Augochlorella,striata,0,1,0,(S36),yes,(S37)
Halictidae,Augochlorella,pura,0,1,0,(S38),yes,
Halictidae,Halictus,ligatus,?,2.9,0,(S39),yes,(S39)
Halictidae,Halictus,marginatus,?,>1,1,(S40),yes,
Halictidae,Lasioglossum,laevissumum,0,1,0,(S41),yes,(S41)
Halictidae,Lasioglossum,malachurum,0.03,1.0,0,(S42),yes,(S42)
Halictidae,Lasioglossum,marginatum,?,?,0,(S43),yes,
Halictidae,Lasioglossum,rowheri,0.27,0.55,1,(S38),yes,
Halictidae,Lasioglossum,zephyrum,0,1,0,"(S38, 44)",yes,
Apidae,Bombus,affinis,0,1,0,(S45),no,
Apidae,Bombus,auricomus,0,1,0,(S45),no,
Apidae,Bombus,bifarius,0.31,?,1,"(S46, 47)",no,
Apidae,Bombus,bimaculatus,0.25,1.06,1,(S45),no,
Apidae,Bombus,californicus,0.29,?,1,(S47),no,
Apidae,Bombus,citrinus,1,2.5,1,(S45),no,
Apidae,Bombus,fervidus,0,1,0,(S45),no,
Apidae,Bombus,frigidus,0.13,?,1,(S47),no,
Apidae,Bombus,griseocollis,0,1,0,(S45),no,
Apidae,Bombus,hortorum,0,1,0,(S48),no,
Apidae,Bombus,humilis,0,1,0,"(S43, 49)",no,
Apidae,Bombus,huntii,?,?,1,(S46),no,
Apidae,Bombus,hypnorum,0.24,1.12,1,(S48),no,
Apidae,Bombus,impatiens,0.24,1.13,1,"(S45, 50)",no,
Apidae,Bombus,insularis,0,1,0,(S45),no,
Apidae,Bombus,lapidarius,0,1,0,(S48),no,
Apidae,Bombus,lucorum,0,1,0,(S48),no,
Apidae,Bombus,mixtus,1,4,1,(S45),no,
Apidae,Bombus,pascuorum,0,1,0,(S48),no,
Apidae,Bombus,pratorum,0,1,0,(S48),no,
Apidae,Bombus,rufocinctus,0.06,?,0,(S47),no,
Apidae,Bombus,sicheli,0,1,0,(S48),no,
Apidae,Bombus,sylvarum,0,1,0,"(S43, 49)",no,
Apidae,Bombus,ternarius,1,2,1,(S45),no,
Apidae,Bombus,terrestris,0,1,0,(S48),no,
Apidae,Bombus,vagans,0,1,0,(S45),no,
Apidae,Bombus,variabilis,0,1,0,"(S40, 43)",no,
Apidae,Apis,andreniformis,1,10.5,2,"(S51, 52)",no,
Apidae,Apis,cerana,1,14.1,2,"(S51, 53)",no,
Apidae,Apis,dorsata,1,44.2,2,"(S51, 54)",no,
Apidae,Apis,florea,1,7.9,2,"(S51, 55)",no,
Apidae,Apis,koschevnikovi,1,13.3,2,"(S51, 56)",no,
Apidae,Apis,laboriosa,1,16.8,2,(S57),no,
Apidae,Apis,mellifera,1,11.6,2,(S51),no,
Apidae,Apis,nigrocincta,1,40.3,2,"(S51, 58)",no,
Apidae,Trigona,clavipes,0,1.01,0,"(S59, 60)",no,
Apidae,Tetragonula,carbonaria,0,1,0,(S61),no,
Apidae,Tetragonula,clypearis,0,1.04,0,(S62),no,
Apidae,Tetragonula,collina,0,1,0,(S63),no,
Apidae,Trigona,fulviventris,0,1.15,0,(S59),no,
Apidae,Tetragonula,hockingsi,0,1.16,0,(S62),no,
Apidae,Tetragonula,mellipes,0,0.98,0,(S62),no,
Apidae,Heterotrigona,sapiens,0,1,0,(S62),no,
Apidae,Plebeia,droryama,0,1,0,"(S4, 60)",no,
Apidae,Plebeia,nr minima,0,1.42,0,(S59),no,
Apidae,Plebeia,remota,0,1,0,"(S4, 60)",no,
Apidae,Plebeia,saiqui,0,1,0,"(S4, 60)",no,
Apidae,Plebeia,quadripunctata,0,1,0,(S59),no,
Apidae,Lestrimellita,limao,0,1.23,0,(S59),no,
Apidae,Melipona,beecheii,0,1.16,0,(S64),no,
Apidae,Melipona,compressipes,0,1,0,(S4),no,
Apidae,Melipona,favosa,0,1,0,(S4),no,
Apidae,Melipona,marginata,0,1,0,"(S4, 60)",no,
Apidae,Melipona,scutellaris,0,1,0,"(S4, 60)",no,
Apidae,Melipona,subnitida,0,1,0,"(S4, 65)",no,
Apidae,Melipona,panamica,0,1,0,(S59),no,
Apidae,Melipona,quadrifasciata,0,1,0,"(S59, 60)",no,
Apidae,Melipona,quinqueifasciata,0,1,0,(S43),no,
Apidae,Melipona,bicolor,0,,0,(S59),no,
Apidae,Austroplebeia,australis,0,1,0,(S66),no,
Apidae,Austroplebeia,symei,0,1.06,0,(S62),no,
Apidae,Partamona,nr cupira,0,1,0,(S59),no,
Apidae,Nannotrigona,perilampoides,0,1.19,0,(S59),no,
Apidae,Paratrigona,subnuda,0,1.02,0,"(S59, 67)",no,
Apidae,Scaptotrigona,barrocoloradensis,0,1,0,(S59),no,
Apidae,Scaptotrigona,depilis,0,1,0,(S4),no,
Apidae,Scaptotrigona,mexicana,0,1.06,0,(S62),no,
Apidae,Scaptotrigona,pectoralis,0,1.09,0,(S62),no,
Apidae,Scaptotrigona,postica,0,1,0,(S59),no,
Vespidae,Parischnogaster,alternata,0.02,1.02,0,(S68),yes,(S68)
Vespidae,Parischnogaster,mellyi,0,1,0,(S69),yes,(S69)
Vespidae,Liostenogaster,flavolineata,0,1,0,(S70),yes,(S70)
Vespidae,Eustenogaster,fraterna,0,1,0,(S71),yes,(S71)
Vespidae,Polistes,annularis,0.05,1.05,0,(S72),yes,(S73)
Vespidae,Polistes,bellicosus,0,1,0,(S74),yes,(S73)
Vespidae,Polistes,biglumis,0,1,0,"(S4, 75)",yes,(S73)
Vespidae,Polistes,chinensis,0,1,0,"(S4, 76)",yes,(S73)
Vespidae,Polistes,dorsalis,0,1,0,(S75),yes,(S73)
Vespidae,Polistes,fuscatus,?,>1,1,(S77),yes,(S73)
Vespidae,Polistes,gallicus,0,1,0,(S78),yes,(S73)
